regulador	V2	regulado	especie	V5	FT
Solyc06g060490	regulates	Solyc02g077020	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc02g079650	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc02g082490	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc02g082980	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc02g084290	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc02g084750	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc02g084790	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc02g085450	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc02g085460	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc02g087030	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc02g087540	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc02g087880	Solanum lycopersicum	FunTFBS, motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc02g088320	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc02g088730	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc02g089750	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc02g089880	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc02g090110	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc02g090480	Solanum lycopersicum	FunTFBS, motif	bZIP
Solyc06g060490	regulates	Solyc02g091620	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc02g092790	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc02g092930	Solanum lycopersicum	FunTFBS, motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc02g093260	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc02g094650	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc03g007370	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc03g007480	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc03g025150	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc03g025850	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc03g026070	Solanum lycopersicum	FunTFBS, motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc03g026270	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc03g033240	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc03g033900	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc03g034380	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc03g058450	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc03g059210	Solanum lycopersicum	FunTFBS, motif	bZIP
Solyc06g060490	regulates	Solyc03g065120	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc03g078250	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc03g078520	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc03g082360	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc03g082780	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc03g082900	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc03g083600	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc03g083940	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc03g083970	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc03g095990	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc03g096640	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc03g096890	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc03g111540	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc03g111860	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc03g112500	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc03g112570	Solanum lycopersicum	motif	bZIP
Solyc06g060490	regulates	Solyc03g113170	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc03g113870	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc03g116100	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc03g117560	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc03g118420	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc03g120170	Solanum lycopersicum	motif, motif_CE	bZIP
Solyc06g060490	regulates	Solyc03g121040	Solanum lycopersicum	motif, motif_CE	bZIP
