regulador	V2	regulado	especie	V5	FT
Sopen02g037700	regulates	Sopen00g008850	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g008860	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g008870	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g008880	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g008890	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g008940	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g009030	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g009080	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g009110	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g009210	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g009480	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g009520	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g009530	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g009700	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g009750	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g009780	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g009920	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g010070	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g010210	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g010240	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g010260	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g010280	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g010290	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g010320	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g010340	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g010490	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g010530	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g010540	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g010570	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g010620	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g010640	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g010680	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g010690	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g010730	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g010740	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g010750	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g010780	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g010920	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g010950	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g011070	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g011100	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g011110	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g011130	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g011220	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g011230	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g011240	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g011270	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g011280	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g011310	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g011400	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g011570	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g011610	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g011640	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g011740	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g011840	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g011950	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g011960	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g012020	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g012060	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g012090	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g012100	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g012130	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g012140	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g012150	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g012170	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g012180	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g012200	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g012260	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g012280	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g012310	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g012320	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g012360	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g012370	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g012440	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g012470	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g012530	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g012590	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g012680	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g012690	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g013130	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g013140	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g013270	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g013290	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g013600	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g014320	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g014330	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g014340	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen00g014370	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g001130	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g001490	Solanum pennellii	motif	none
Sopen02g037700	regulates	Sopen01g001950	Solanum pennellii	motif	none
