Solyc03g113560	interacts with	Solyc02g068280
Solyc03g113560	interacts with	Solyc02g080940
Solyc03g113560	interacts with	Solyc05g055220
Solyc03g113560	interacts with	Solyc06g007910
Solyc03g113560	interacts with	Solyc07g052430
Solyc03g113560	interacts with	Solyc07g064500
Solyc03g113560	interacts with	Solyc08g083240
Solyc03g113560	interacts with	Solyc09g005310
Solyc03g113560	interacts with	Solyc09g082650
Solyc03g113560	interacts with	Solyc09g098030
Solyc03g113560	interacts with	Solyc12g015770
Solyc03g113560	interacts with	Solyc01g098650
